UserName,DateTime,FilesChange
dangnq2501,2023-05-05 07:04:16,8
dangnq2501,2023-04-28 08:03:45,1
dangnq2501,2023-04-28 07:56:21,1
dangnq2501,2023-04-28 07:49:59,1
dangnq2501,2023-04-28 07:45:28,1
dangnq2501,2023-04-28 07:45:22,3
dangnq2501,2023-04-28 07:42:47,3
dangnq2501,2023-04-28 07:36:57,2
dangnq2501,2023-04-28 07:33:44,1
dangnq2501,2023-04-28 07:31:07,1
dangnq2501,2023-04-28 07:22:22,1
dangnq2501,2023-04-28 07:21:37,1
dangnq2501,2023-04-28 07:18:47,2
dangnq2501,2023-04-28 07:15:20,6
dangnq2501,2023-04-28 07:14:59,1
dangnq2501,2023-04-28 07:10:21,2
dangnq2501,2023-04-28 06:51:43,1
dangnq2501,2023-04-28 06:15:34,2
dangnq2501,2023-04-28 06:08:34,1
dangnq2501,2023-04-28 06:05:17,2
dangnq2501,2023-04-25 07:58:35,1
dangnq2501,2023-04-24 10:48:02,13
dangnq2501,2023-04-21 08:40:53,5
dangnq2501,2023-04-21 08:21:35,8
dangnq2501,2023-04-17 04:15:19,18
thaisonatk,2023-05-22 09:59:00,2
thaisonatk,2023-05-22 09:09:36,1
thaisonatk,2023-05-22 09:06:47,1
thaisonatk,2023-05-22 09:04:00,2
thaisonatk,2023-05-19 07:02:17,2
thaisonatk,2023-05-19 06:27:52,18
thaisonatk,2023-05-19 04:56:10,4
thaisonatk,2023-05-18 17:59:02,1
thaisonatk,2023-05-18 17:57:18,17
thaisonatk,2023-05-15 09:16:30,10
thaisonatk,2023-05-14 16:49:02,1
thaisonatk,2023-05-14 16:46:58,9
thaisonatk,2023-05-12 08:06:49,1
thaisonatk,2023-05-12 07:59:39,11
thaisonatk,2023-05-12 04:23:40,1
thaisonatk,2023-05-12 02:35:29,1
thaisonatk,2023-05-12 01:25:23,1
thaisonatk,2023-05-12 01:23:23,8
thaisonatk,2023-05-11 19:33:39,11
thaisonatk,2023-05-11 12:59:23,9
thaisonatk,2023-05-08 10:19:12,1
thaisonatk,2023-05-08 09:28:46,2
thaisonatk,2023-05-08 09:26:57,2
thaisonatk,2023-05-08 09:21:27,9
